,Sample_ID,d50,dataset,Date,tanBeta,latitude,longitude,geometry,dir,hs_mean,hs_max,tp,dist
1194,15480,1.05409022136613,rossi,1999-04-11,0.1,27.581670000000003,-80.3275,POINT (-80.3275 27.58167),63.73750067,0.223750001,0.289999992,12.24249995,0.019116576904206768
1195,15482,0.272823639894603,rossi,1999-04-11,0.1,27.581670000000003,-80.3275,POINT (-80.3275 27.58167),63.73750067,0.223750001,0.289999992,12.24249995,0.019116576904206768
1196,15485,0.297722020206223,rossi,1999-04-11,0.1,27.581670000000003,-80.3275,POINT (-80.3275 27.58167),63.73750067,0.223750001,0.289999992,12.24249995,0.019116576904206768
1197,15486,0.425734723088742,rossi,1999-04-11,0.1,27.581670000000003,-80.3275,POINT (-80.3275 27.58167),63.73750067,0.223750001,0.289999992,12.24249995,0.019116576904206768
1200,15484,0.339159019814336,rossi,1999-04-11,0.1,27.581670000000003,-80.3275,POINT (-80.3275 27.58167),63.73750067,0.223750001,0.289999992,12.24249995,0.019116576904206768
1201,15479,0.429290575871304,rossi,1999-04-11,0.1,27.581670000000003,-80.3275,POINT (-80.3275 27.58167),63.73750067,0.223750001,0.289999992,12.24249995,0.019116576904206768
1202,15481,0.306091941778873,rossi,1999-04-11,0.1,27.581670000000003,-80.3275,POINT (-80.3275 27.58167),63.73750067,0.223750001,0.289999992,12.24249995,0.019116576904206768
1203,15478,0.48768531098118,rossi,1999-04-11,0.09,27.611390000000004,-80.34,POINT (-80.34 27.61139),63.73750067,0.223750001,0.289999992,12.24249995,0.013326209293514848
1204,15475,0.340572449036119,rossi,1999-04-11,0.09,27.611390000000004,-80.34,POINT (-80.34 27.61139),63.73750067,0.223750001,0.289999992,12.24249995,0.013326209293514848
1205,15476,0.328743606177784,rossi,1999-04-11,0.09,27.611390000000004,-80.34,POINT (-80.34 27.61139),63.73750067,0.223750001,0.289999992,12.24249995,0.013326209293514848
1206,15477,0.46587791722379795,rossi,1999-04-11,0.09,27.611390000000004,-80.34,POINT (-80.34 27.61139),63.73750067,0.223750001,0.289999992,12.24249995,0.013326209293514848
1207,15474,0.30041683232661304,rossi,1999-04-11,0.09,27.611390000000004,-80.34,POINT (-80.34 27.61139),63.73750067,0.223750001,0.289999992,12.24249995,0.013326209293514848
1208,15471,0.424261824668353,rossi,1999-04-11,0.11,27.65,-80.35417,POINT (-80.35417 27.65),80.28624916,0.28375000100000003,0.349999994,10.04249993,0.02669214971293436
1209,15469,0.438006984158471,rossi,1999-04-11,0.11,27.65,-80.35417,POINT (-80.35417 27.65),80.28624916,0.28375000100000003,0.349999994,10.04249993,0.02669214971293436
1210,15473,0.22298937289058202,rossi,1999-04-11,0.11,27.65,-80.35417,POINT (-80.35417 27.65),80.28624916,0.28375000100000003,0.349999994,10.04249993,0.02669214971293436
1211,15470,0.342941266300959,rossi,1999-04-11,0.11,27.65,-80.35417,POINT (-80.35417 27.65),80.28624916,0.28375000100000003,0.349999994,10.04249993,0.02669214971293436
1212,15468,0.265731541316691,rossi,1999-04-11,0.11,27.65,-80.35417,POINT (-80.35417 27.65),80.28624916,0.28375000100000003,0.349999994,10.04249993,0.02669214971293436
1213,15472,0.7557645450724121,rossi,1999-04-11,0.11,27.65,-80.35417,POINT (-80.35417 27.65),80.28624916,0.28375000100000003,0.349999994,10.04249993,0.02669214971293436
1214,12053,0.7295151521257299,rossi,1988-12-01,0.125,27.652420000000003,-80.35542,POINT (-80.35542 27.65242),,,,,0.02630593016598144
1215,12054,0.4155308296009079,rossi,1988-12-01,0.125,27.65243,-80.3554,POINT (-80.3554 27.65243),,,,,0.026283691169581798
1216,12055,0.501395710373938,rossi,1988-12-01,0.125,27.652440000000002,-80.35536,POINT (-80.35536 27.65244),,,,,0.026244596660987756
1217,12056,0.845575357477359,rossi,1988-12-01,0.125,27.652479999999997,-80.35526,POINT (-80.35526 27.65248),,,,,0.026138799993456596
1218,12057,2.57928360106853,rossi,1988-12-01,0.125,27.652509999999996,-80.35516,POINT (-80.35516 27.65251),,,,,0.02603841756900395
1219,12058,1.72068504726755,rossi,1988-12-01,0.125,27.652509999999996,-80.35514,POINT (-80.35514000000001 27.65251),,,,,0.026021586467741706
1220,12059,0.684922100690532,rossi,1988-12-01,0.125,27.652559999999998,-80.355,POINT (-80.355 27.65256),,,,,0.025876788941018795
1221,12060,0.260082648275631,rossi,1988-12-01,0.125,27.6527,-80.35455999999999,POINT (-80.35455999999999 27.6527),,,,,0.025431347245033667
1223,12037,0.49073709331585497,rossi,1988-12-01,0.09,27.66832,-80.36017,POINT (-80.36017 27.66832),,,,,0.026982446773736197
1224,12039,0.539621323713911,rossi,1988-12-01,0.09,27.668359999999996,-80.36007,POINT (-80.36006999999999 27.66836),,,,,0.026885290496799778
1225,12041,0.534780789073082,rossi,1988-12-01,0.09,27.66837,-80.36003000000001,POINT (-80.36003000000001 27.66837),,,,,0.02684604770721693
1226,12042,1.59547434578639,rossi,1988-12-01,0.09,27.668390000000002,-80.35996999999999,POINT (-80.35996999999999 27.66839),,,,,0.026787533845002584
1227,12043,1.8125005444344802,rossi,1988-12-01,0.09,27.668409999999998,-80.35991,POINT (-80.35991 27.66841),,,,,0.02672904153720528
1228,12044,0.48230670468532105,rossi,1988-12-01,0.09,27.66842,-80.35987,POINT (-80.35987 27.66842),,,,,0.026689827535930948
1229,12045,0.147119445130419,rossi,1988-12-01,0.09,27.66845,-80.35979,POINT (-80.35979 27.66845),,,,,0.02661212215321986
1230,12046,2.2345353864430098,rossi,1988-12-01,0.09,27.668540000000004,-80.3595,POINT (-80.3595 27.66854),,,,,0.026329432813821767
1242,15456,0.38342862079061,rossi,1999-04-11,0.08,27.70944,-80.37305,POINT (-80.37305000000001 27.70944),98.97375059,0.296250002,0.379999995,7.829999894,0.0463772297084554
1243,15457,0.39943389262635104,rossi,1999-04-11,0.08,27.70944,-80.37305,POINT (-80.37305000000001 27.70944),98.97375059,0.296250002,0.379999995,7.829999894,0.0463772297084554
1244,15455,0.35429730651217994,rossi,1999-04-11,0.08,27.70944,-80.37305,POINT (-80.37305000000001 27.70944),98.97375059,0.296250002,0.379999995,7.829999894,0.0463772297084554
1245,15454,0.444737296863346,rossi,1999-04-11,0.08,27.70944,-80.37305,POINT (-80.37305000000001 27.70944),98.97375059,0.296250002,0.379999995,7.829999894,0.0463772297084554
1246,15453,0.39175653994280196,rossi,1999-04-11,0.08,27.70944,-80.37305,POINT (-80.37305000000001 27.70944),98.97375059,0.296250002,0.379999995,7.829999894,0.0463772297084554
