"Kurt (Grain size, sieving, Folk and...)",Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1.101,132,633A,R16,,1/1/1997,INDIA,36.98602076,-7.962908455,,4.3,95.7,0,0.311,0.644,-0.107,1.101,0.247,,
1.014,133,634A,R20,,1/1/1997,INDIA,36.98665685,-7.962112692,,0,100,0,0.663,0.63,0.062,1.014,0.747,,
0.872,134,635A,S14,,1/1/1997,INDIA,36.9853837,-7.962909858,,51.6,48.4,0,-1.365,1.341,-0.293,0.872,-0.243,-3.243,
1.068,135,636A,T12,,1/1/1997,INDIA,36.98474647,-7.962911262,,3.6,96.4,0,0.911,0.936,-0.12,1.068,1.247,,
1.022,136,637A,T13,,1/1/1997,INDIA,36.98490549,-7.962712326,,7.4,92.6,0,0.496,1.007,-0.105,1.022,0.747,,
1.098,137,638A,U12,,1/1/1997,INDIA,36.98442737,-7.962514907,,0.8,99.2,0,0.763,0.636,-0.053,1.098,0.747,,
0.995,138,639A,U13,,1/1/1997,INDIA,36.9845864,-7.962315971,,3.4,96.6,0,0.286,0.686,-0.045,0.995,0.247,,
1.119,139,640A,U14,,1/1/1997,INDIA,36.98474542,-7.962117034,,9.3,90.7,0,0.161,0.856,-0.184,1.119,0.247,,
0.696,140,641A,U16,,1/1/1997,INDIA,36.98506338,-7.961719269,,67.5,32.5,0,-1.945,1.375,-0.296,0.696,-0.743,-3.743,
0.976,141,642A,U20,,1/1/1997,INDIA,36.98569947,-7.960923506,,0,100,0,1.074,0.576,0.056,0.976,0.747,,
,142,643A,P3 - TP,Low tide terrace,2/2/1999,INDIA,36.9887771,-7.969008453,1.14,0.22,99.78,0,0.769,0.342,0.074,,,,
,143,644A,P3 - TM E8,,2/2/1999,INDIA,36.98897587,-7.968759813,1.88,0.69,99.31,0,0.524,0.455,0.334,,,,
,144,645A,P3 - FP E11,Beach face,2/2/1999,INDIA,36.98917464,-7.968511172,3.03,0.39,99.61,0,0.672,0.339,0.041,,,,
,145,646A,P3 PM,,2/2/1999,INDIA,36.98937341,-7.96826253,4.96,0,100,0,1.496,0.234,-0.165,,,,
,146,647A,P3 - TP,Low tide terrace,2/2/1999,INDIA,36.9887771,-7.969008453,1.74,0.14,99.86,0,2.127,0.285,-1.165,,,,
,147,648A,P3 - FP E6,Beach face,2/2/1999,INDIA,36.98917464,-7.968511172,4.07,0.14,99.86,0,1.496,0.279,-0.913,,,,
,148,649A,P3 - BERMA E8,Berm,2/2/1999,INDIA,36.98937341,-7.96826253,4.61,0.36,99.64,0,0.885,0.502,-0.175,,,,
