Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
76,838A,Cb1.Duna,Dune,4/23/1999,ReqSistLagRFormosa,Hand-Collecting,37.1277,-7.6016,6,0.1,99.9,0,1.55,0.52,-0.07,0.99,1.75,,
77,839A,Cb1.Berma,Berm,4/23/1999,ReqSistLagRFormosa,Hand-Collecting,37.1275,-7.6015,5,0.2,99.8,0,1.4,0.54,0.02,0.97,1.25,,
78,840A,Cb1.Face,Beach face,4/23/1999,ReqSistLagRFormosa,Hand-Collecting,37.1271,-7.6014,2,0,100,0,1.22,0.51,0.03,0.98,1.25,,
79,841A,Cb3.Duna,Dune,4/23/1999,ReqSistLagRFormosa,Hand-Collecting,37.1326,-7.5931,6,0,100,0,1.6,0.45,-0.04,0.97,1.75,,
80,842A,Cb3.Berma,Berm,4/23/1999,ReqSistLagRFormosa,Hand-Collecting,37.1324,-7.5931,4,0.1,99.9,0,1.4,0.67,-0.19,1,1.75,,
81,843A,Cb3.Face,Beach face,4/23/1999,ReqSistLagRFormosa,Hand-Collecting,37.132,-7.593,2,0.1,99.9,0,1.93,0.61,0.18,1.4,1.75,,
82,844A,Cb4.Duna,Dune,4/23/1999,ReqSistLagRFormosa,Hand-Collecting,37.1348,-7.5892,6,0,100,0,1.67,0.5,-0.07,1,1.75,,
83,845A,Cb4.Berma,Berm,4/23/1999,ReqSistLagRFormosa,Hand-Collecting,37.1346,-7.5891,5,0,100,0,1.58,0.55,-0.02,0.95,1.75,,
84,846A,Cb4.Face,Beach face,4/23/1999,ReqSistLagRFormosa,Hand-Collecting,37.1342,-7.589,3,0,100,0,1.89,0.45,-0.06,0.92,1.75,,
85,847A,Cb1.Duna,Dune,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1277,-7.6016,6,0,100,0,1.82,0.44,-0.06,0.98,1.75,,
86,848A,Cb1.Berma,Berm,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1273,-7.6014,4,0,100,0,1.71,0.44,-0.01,0.94,1.75,,
87,849A,Cb1.Face,Beach face,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1272,-7.6013,2,0.2,99.8,0,1.1,0.64,0.15,1.02,0.75,,
88,850A,Cb1.Terraco,Low tide terrace,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1265,-7.601,,36.9,63.1,0,-0.03,1.67,-0.37,0.54,-2.24,1.247,
89,851A,Cb3.Aterro,Nourishment,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1277,-7.5982,6,3.9,96.1,0,1.45,0.82,-0.37,1.25,1.75,-0.243,
90,852A,Cb3.Berma,Berm,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1323,-7.5981,4,0,100,0,1.73,0.48,-0.03,0.85,1.75,,
91,853A,Cb3.Face,Beach face,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.132,-7.598,2,0.1,99.9,0,1.71,0.61,-0.15,0.94,1.75,,
92,854A,Cb3.Terraco,Low tide terrace,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1317,-7.5979,,0,100,0,1.72,0.61,-0.14,0.95,2.24,,
93,855A,Cb4.Aterro,Nourishment,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1347,-7.5892,5,0,100,0,1.63,0.661,-0.26,1.054,1.747,,
94,856A,Cb4.Berma,Berm,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1345,-7.5891,5,0,100,0,1.696,0.631,-0.174,0.878,2.237,,
95,857A,Cb4.Face,Beach face,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1341,-7.589,3,1.6,98.4,0,1.124,0.899,0.063,0.881,0.747,2.237,
96,858A,Cb4.Terraco,Low tide terrace,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1336,-7.5889,1,1,99,0,1.5,0.827,-0.343,1.037,1.747,,
97,859A,Cb5.Aterro,Nourishment,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1416,-7.5739,5,1,99,0,1.289,0.907,-0.149,0.802,2.237,0.747,
98,860A,Cb5.Berma,Berm,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1411,-7.5736,4,0,100,0,1.702,0.513,-0.094,0.985,1.747,,
99,861A,Cb5.Face,Beach face,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1409,-7.5735,2,0,100,0,1.717,0.596,-0.136,0.917,1.747,,
100,862A,Cb5.Terraco,Low tide terrace,1/20/2000,ReqSistLagRFormosa,Hand-Collecting,37.1406,-7.5733,,0.6,99.4,0,1.281,0.83,0.037,0.891,0.747,2.237,
