Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,"Latitude (Grain size, sieving)","Longitude (Grain size, sieving)","Depth water [m] (Grain size, sieving/pipette)","Gravel [%] (Grain size, sieving/pipette, ...)","Sdst [%] (Grain size, sieving/pipette, ...)","Mudstone [%] (Grain size, sieving/pipette, ...)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)"
126,476,476,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0884,-7.4323,-32,10.6,27.1,62.3,4.56,4.08,-0.14,2.02
127,477,477,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0814,-7.4333,-38,0.37,24.65,74.98,5.84,3.17,-0.08,2.19
128,478,478,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0666,-7.4343,-52,0,0,100,8.09,2.2,-0.1,1.77
129,479,479,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.054,-7.4361,-64,0,0.4,99.6,8.15,2.18,-0.15,1.84
130,480,480,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0404,-7.4383,-78,0,0.76,99.24,8.24,2.13,-0.2,1.92
131,481,481,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0223,-7.441,-90,0,0.77,99.23,8.37,2.08,-0.26,2.02
132,482,482,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0066,-7.444,-92,0.41,12.33,87.26,7.59,2.8,-0.64,2.8
133,483,483,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0005,-7.4452,-95,14.86,23.89,61.25,5.19,4.54,-0.44,2.02
134,484,484,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9937,-7.4463,-97,12.66,28,59.34,5.22,4.45,-0.41,2.06
135,485,485,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9797,-7.4489,-103,8.21,32.16,59.63,5.54,3.99,-0.29,2.05
136,486,486,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.9725,-7.4496,-108,1.14,39.98,58.89,5.83,3.46,0.05,1.79
137,487,487,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.961,-7.4513,-114,2.7,38.46,58.84,5.74,3.7,-0.11,1.86
