Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
89,1219A,O.A-P14-A6,11/25/2011,EROS,Hand-Collecting,37.0897,-8.192,4.23,0.3,99.7,0,1.506,0.757,-0.261,1.196,1.747,,
90,1220A,O.A-P7-A1,1/11/2012,EROS,Hand-Collecting,37.0884,-8.194,1.25,20,80,0,-0.574,0.721,-0.003,1.475,-0.743,,
91,1221A,O.A-P7-A2,1/11/2012,EROS,Hand-Collecting,37.0886,-8.194,2.29,1.6,98.4,0,0.664,0.891,-0.098,0.877,1.247,-0.243,
92,1222A,O.A-P7-A3,1/11/2012,EROS,Hand-Collecting,37.0886,-8.194,3.08,0.6,99.4,0,0.596,0.662,-0.069,0.883,0.747,,
93,1223A,O.A-P7-A4,1/11/2012,EROS,Hand-Collecting,37.0887,-8.194,3.87,0.2,99.8,0,2.394,0.49,-0.112,1.081,2.237,,
94,1224A,O.A-P12-A1,1/11/2012,EROS,Hand-Collecting,37.0891,-8.192,0.89,2.9,97.1,0,2.3,0.944,-0.502,1.997,2.737,,
95,1225A,O.A-P12-A2,1/11/2012,EROS,Hand-Collecting,37.0893,-8.192,1.97,0,100,0,1.927,0.542,-0.045,0.965,2.237,,
96,1226A,O.A-P12-A3,1/11/2012,EROS,Hand-Collecting,37.0894,-8.192,2.73,0.2,99.8,0,1.848,0.545,0.021,1.422,1.747,,
97,1227A,O.A-P12-A4,1/11/2012,EROS,Hand-Collecting,37.0896,-8.192,3.74,0,100,0,1.947,0.44,-0.028,0.983,2.237,,
98,1228A,O.A-P12-A5,1/11/2012,EROS,Hand-Collecting,37.0897,-8.192,4.8,0,100,0,1.941,0.484,0.018,1.059,1.747,,
99,1229A,O.A-P14-A1,1/11/2012,EROS,Hand-Collecting,37.0892,-8.192,0.85,3.8,96.2,0,1.471,1.365,-0.446,0.71,2.737,-0.243,
100,1230A,O.A-P14-A2,1/11/2012,EROS,Hand-Collecting,37.0894,-8.192,1.7,11.4,88.6,0,0.413,1.383,0.378,0.694,-0.743,2.237,
101,1231A,O.A-P14-A3,1/11/2012,EROS,Hand-Collecting,37.0895,-8.192,2.54,5.9,94.1,0,0.825,1.04,-0.273,1.129,1.247,-0.243,
