Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)"
147,1524A,BG-P7-A3,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.3167,0.1,99.9,0,1.262,0.55,-0.154,1.054,1.247,
148,1525A,BG-P7-A4,3/29/2011,MOSES,Hand-Collecting,37.0808,-8.3167,0,100,0,1.557,0.437,-0.057,,1.747,
149,1526A,BG-P7-A5,3/29/2011,MOSES,Hand-Collecting,37.0808,-8.3168,0,100,0,1.58,0.5,-0.075,1.054,1.747,
150,1527A,BG-P8-A2,3/29/2011,MOSES,Hand-Collecting,37.0808,-8.3164,0.9,99.1,0,1.146,0.778,-0.244,1.078,1.247,
151,1528A,BG-P8-A3,3/29/2011,MOSES,Hand-Collecting,37.0807,-8.3165,0.1,99.9,0,1.233,0.653,-0.119,1.006,1.247,
152,1529A,BG-P8-A4,3/29/2011,MOSES,Hand-Collecting,37.0807,-8.3166,0.1,99.9,0,1.411,0.508,0.026,1.076,1.247,
153,1530A,BG-P8-A5,3/29/2011,MOSES,Hand-Collecting,37.0806,-8.3167,0.1,99.9,0,1.47,0.674,-0.162,1.07,1.747,
154,1531A,BG-P9-A2,3/29/2011,MOSES,Hand-Collecting,37.0807,-8.3163,0,100,0,1.44,0.465,0.015,1.048,1.247,
155,1532A,BG-P9-A3,3/29/2011,MOSES,Hand-Collecting,37.0806,-8.3164,0,100,0,1.252,0.5,-0.038,0.983,1.247,
156,1533A,BG-P9-A4,3/29/2011,MOSES,Hand-Collecting,37.0805,-8.3164,0,100,0,1.621,0.424,0.014,0.923,1.747,
157,1534A,BG-P9-A5,3/29/2011,MOSES,Hand-Collecting,37.0805,-8.3165,0,100,0,1.671,0.508,-0.079,1.098,1.747,
158,1535A,PA-P1-A1,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3162,0.2,99.8,0,1.605,0.584,-0.105,1.016,1.747,
159,1536A,PA-P1-A2,3/29/2011,MOSES,Hand-Collecting,37.0803,-8.3163,0,100,0,1.996,0.46,-0.055,1.061,2.237,
160,1537A,PA-P2-A1,3/29/2011,MOSES,Hand-Collecting,37.0805,-8.3158,0.1,99.9,0,1.409,0.612,-0.146,1.188,1.247,
161,1538A,PA-P2-A2,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3159,0.2,99.8,0,1.252,0.643,-0.139,0.982,1.247,
162,1539A,PA-P2-A3,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.316,0,100,0,1.608,0.473,-0.11,1.077,1.747,
163,1540A,PA-P2-A4,3/29/2011,MOSES,Hand-Collecting,37.0803,-8.316,0,100,0,1.721,0.488,-0.105,1.204,1.747,
164,1541A,PA-P2-A5,3/29/2011,MOSES,Hand-Collecting,37.0802,-8.3161,0,100,0,2.064,0.428,-0.09,1.036,2.237,
