Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Chart datum [m] (Relative to the hydrographic ...),"Gravel [%] (Grain size, sieving/pipette)","Sdst [%] (Grain size, sieving/pipette)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
108,1142,047D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0007,-7.7833,-8.4,0.32,98.95,0.72,1.49,0.83,0.07,0.9,1.247,2.237,
109,1143,048A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9963,-7.7917,-3,1.05,98.91,0.04,0.92,0.83,-0.06,0.94,1.247,,
110,1144,048E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9943,-7.7917,-10.2,0.09,99.9,0.01,1.83,0.58,-0.12,1.08,2.237,,
111,1145,049A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9942,-7.8,-3,0.11,99.88,0.01,2.04,0.55,-0.11,1.04,2.237,,
112,1146,049C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9925,-7.8,-6.6,1.93,98.06,0.01,1.08,0.75,-0.07,1.04,1.247,,
113,1147,050B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9885,-7.8083,-4.8,0.91,99.07,0.02,1.46,0.9,-0.19,0.87,2.237,,
114,1148,050D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.986,-7.8083,-8.4,0.35,99.63,0.02,1.2,0.66,-0.01,1.01,1.247,,
115,1149,051A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9887,-7.8167,-3,0.04,99.95,0.01,2.08,0.62,-0.24,1.15,2.237,,
116,1150,051C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9848,-7.8167,-6.6,0.14,99.84,0.02,1.35,0.74,0.05,1,1.247,,
117,1151,052D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.981,-7.825,-8.4,0.05,99.93,0.02,2.05,0.7,-0.15,0.86,2.737,,
118,1152,052F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.978,-7.825,-12,0.22,99.77,0.01,1.06,0.78,0.07,1.09,0.747,,
119,1153,052G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9773,-7.825,-13.8,0.39,99.61,0.01,1.19,0.76,-0.01,1,1.247,,
120,1154,053A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9847,-7.8333,-3,0.29,99.7,0.01,2.11,0.66,-0.31,1.47,2.237,,
121,1155,053C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9808,-7.8333,-6.6,0.12,99.87,0.01,1.87,0.77,-0.26,0.86,2.237,,
122,1156,054B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9795,-7.8417,-4.8,13.46,86.51,0.03,0.14,1.21,0.19,1.26,-0.243,2.237,
123,1157,054D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9765,-7.8417,-8.4,0.05,99.57,0.38,2.52,0.5,-0.21,1.08,2.737,,
124,1158,055A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.978,-7.85,-3,0,99.99,0.01,2.31,0.57,-0.29,1.11,2.737,,
125,1159,055E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9693,-7.85,-10.2,0.04,99.96,0.01,1.73,0.67,0.02,0.94,1.747,,
126,1160,056D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9668,-7.8583,-8.4,0.93,99.06,0.01,1.22,0.76,0.03,0.99,1.247,,
127,1161,056F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9635,-7.8583,-12,0.03,99.96,0.01,1.93,0.65,-0.2,1.13,2.237,,
128,1162,057A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.968,-7.8667,-3,0.18,99.8,0.02,2.44,0.54,-0.31,1.15,2.737,,
129,1163,057D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9633,-7.8667,-8.4,0,99.99,0.01,1.7,0.58,-0.05,1.01,1.747,,
130,1249,057H,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9588,-7.8667,-15.6,0.69,99.3,0.01,0.84,0.63,-0.05,1.07,0.747,,
131,1164,058C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9608,-7.875,-6.6,0.13,99.86,0.01,1.4,0.63,-0.06,1.03,1.247,,
132,1165,058F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9555,-7.875,-12,0.71,99.25,0.04,0.8,0.94,0.16,0.97,0.247,,
133,1166,059A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9597,-7.8833,-3,2.17,97.83,0.01,1.1,0.72,-0.25,1.14,1.247,,
134,1167,059C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9565,-7.8833,-6.6,0.94,98.31,0.75,2.8,0.54,-0.2,1.36,2.737,,
135,1168,059E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9545,-7.8833,-10.2,0.05,98.52,1.43,2.83,0.52,-0.07,1.34,2.737,,
136,1169,060B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.957,-7.8917,-4.8,0.03,99.6,0.37,2.44,0.65,-0.17,1.01,2.737,,
137,1170,060D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9555,-7.8917,-8.4,0.04,98.36,1.6,2.93,0.49,-0.1,1.15,3.237,,
138,1171,061B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9588,-7.9,-4.8,0.54,93.61,5.85,2.79,0.82,-0.06,1.76,2.737,,
139,1172,061D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9567,-7.9,-8.4,0.01,97.8,2.19,2.99,0.53,-0.23,1.29,3.237,,
140,1173,061G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9523,-7.9,-13.8,1.61,98.17,0.22,1.14,0.78,-0.12,1.16,1.247,,
141,1174,062A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9622,-7.9083,-3,0.65,99.07,0.28,2.01,0.81,-0.15,1.12,2.237,,
142,1175,062D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,36.9573,-7.9083,-8.4,3.67,95.99,0.34,1,0.92,-0.17,1.14,1.247,,
